Instance;Model_LB;Model_UB;Literature_LB;Literature_UB;Solve_time
a05100;1698,0;1698,0;1698,0;1698,0;0,003997802734375
a05200;3235,0;3235,0;3235,0;3235,0;0,008001327514648438
a10100;1360,0;1360,0;1360,0;1360,0;0,013004302978515625
a10200;2623,0;2623,0;2623,0;2623,0;0,0170440673828125
a20100;1158,0;1158,0;1158,0;1158,0;0,016998291015625
a20200;2339,0;2339,0;2339,0;2339,0;0,04599952697753906
b05100;1843,0;1843,0;1843,0;1843,0;0,169036865234375
b05200;3552,0;3552,0;3552,0;3552,0;0,7749977111816406
b10100;1407,0;1407,0;1407,0;1407,0;0,0630035400390625
b10200;2827,0;2827,0;2827,0;2827,0;0,7560329437255859
b20100;1166,0;1166,0;1166,0;1166,0;0,13495254516601562
b20200;2339,0;2339,0;2339,0;2339,0;0,19899749755859375
c05100;1931,0;1931,0;1931,0;1931,0;0,09099769592285156
c0515_1;261,0;261,0;261,0;261,0;0,0050506591796875
c0515_2;269,0;269,0;269,0;269,0;0,005001068115234375
c0515_3;256,0;256,0;256,0;256,0;0,00806427001953125
c0515_4;274,0;274,0;274,0;274,0;0,0069980621337890625
c0515_5;251,0;251,0;251,0;251,0;0,0050029754638671875
c05200;3456,0;3456,0;3456,0;3456,0;0,32600975036621094
c0520_1;277,0;277,0;277,0;277,0;0,0059814453125
c0520_2;269,0;269,0;269,0;269,0;0,014028549194335938
c0520_3;260,0;260,0;260,0;260,0;0,0040378570556640625
c0520_4;269,0;269,0;269,0;269,0;0,025037765502929688
c0520_5;267,0;267,0;267,0;267,0;0,0040454864501953125
c0525_1;438,0;438,0;438,0;438,0;0,03803825378417969
c0525_2;415,0;415,0;415,0;415,0;0,005039215087890625
c0525_3;446,0;446,0;446,0;446,0;0,031000137329101562
c0525_4;430,0;430,0;430,0;430,0;0,025997161865234375
c0525_5;411,0;411,0;411,0;411,0;0,00302886962890625
c0530_1;423,0;423,0;423,0;423,0;0,026998519897460938
c0530_2;424,0;424,0;424,0;424,0;0,036952972412109375
