Instance;Model_LB;Model_UB;Literature_LB;Literature_UB;Solve_time
a05100;1697,9999999999998;1697,9999999999998;1698,0;1698,0;55,646
a05200;-Inf;Inf;3235,0;3235,0;751,353
a10100;1360,0;1360,0;1360,0;1360,0;15,533
a10200;2622,9999999999986;2622,9999999999986;2623,0;2623,0;222,919
a20100;1158,0;1158,0;1158,0;1158,0;4,573
a20200;2339,0;2339,0;2339,0;2339,0;44,093
b05100;1838,8372092623238;1877,0;1843,0;1843,0;82,229
b05200;-Inf;Inf;3552,0;3552,0;754,545
b10100;1406,999999999999;1406,999999999999;1407,0;1407,0;6,97
b10200;2825,5093750200003;2831,0;2827,0;2827,0;171,66
b20100;1166,0;1166,0;1166,0;1166,0;3,278
b20200;2338,5217390004364;2339,0;2339,0;2339,0;32,605
c05100;1929,6666665966673;1934,0;1931,0;1931,0;43,168
c0515_1;260,5;261,0;261,0;261,0;0,265
c0515_2;269,0;269,0;269,0;269,0;0,094
c0515_3;256,0;256,0;256,0;256,0;0,199
c0515_4;274,0;274,0;274,0;274,0;0,133
c0515_5;251,0;251,0;251,0;251,0;0,104
c05200;-Inf;Inf;3456,0;3456,0;951,936
c0520_1;277,0;277,0;277,0;277,0;0,237
c0520_2;268,0;269,0;269,0;269,0;0,376
c0520_3;260,0;260,0;260,0;260,0;0,211
c0520_4;267,25;271,0;269,0;269,0;0,382
c0520_5;267,0;267,0;267,0;267,0;0,283
c0525_1;437,9999999999994;437,9999999999994;438,0;438,0;0,452
c0525_2;415,0;415,0;415,0;415,0;0,281
c0525_3;445,4;448,0;446,0;446,0;0,682
c0525_4;428,6666666566668;431,0;430,0;430,0;0,505
c0525_5;411,0;411,0;411,0;411,0;0,379
c0530_1;423,0;423,0;423,0;423,0;0,437
c0530_2;423,99999998;425,0;424,0;424,0;0,672
c0530_3;425,66666669666677;426,0;426,0;426,0;0,783
c0530_4;394,9999999999998;394,9999999999998;395,0;395,0;0,483
c0530_5;404,50000000000006;425,0;406,0;406,0;0,99
c0824_1;403,0;403,0;403,0;403,0;0,278
c0824_2;389,0;389,0;389,0;389,0;0,42
c0824_3;383,0;383,0;383,0;383,0;0,234
c0824_4;384,0;384,0;384,0;384,0;0,197
c0824_5;395,66666667666675;396,0;396,0;396,0;0,384
c0832_1;525,0;525,0;525,0;525,0;0,458
c0832_2;527,0;528,0;527,0;527,0;0,588
c0832_3;519,0;519,0;519,0;519,0;0,542
c0832_4;515,5;516,0;516,0;516,0;0,571
c0832_5;521,0;521,0;521,0;521,0;0,359
c0840_1;646,0;646,0;646,0;646,0;0,941
c0840_2;661,7142857642857;662,0;662,0;662,0;1,054
c0840_3;661,6666666366666;662,0;662,0;662,0;1,047
c0840_4;644,9999999999999;645,0;645,0;645,0;1,366
c0840_5;647,909090919091;649,0;649,0;649,0;0,918
c0848_1;797,0;797,0;797,0;797,0;1,626
c0848_2;782,5;803,0;783,0;783,0;3,201
c0848_3;799,9999999999999;802,0;800,0;800,0;1,999
c0848_4;789,0;789,0;789,0;789,0;2,183
c0848_5;792,0;792,0;792,0;792,0;0,978
c10100;1399,8571428371433;1402,0;1402,0;1402,0;12,257
c10200;2803,949308745761;2836,0;2806,0;2806,0;759,358
c1030_1;482,0;482,0;482,0;482,0;0,371
c1030_2;476,0;476,0;476,0;476,0;0,31
c1030_3;495,71428570428554;496,0;496,0;496,0;0,487
c1030_4;495,85;497,0;497,0;497,0;0,563
c1030_5;487,33333330333346;488,0;488,0;488,0;0,503
c10400;-Inf;Inf;5597,0;5597,0;901,398
c1040_1;637,6666666466667;638,0;638,0;638,0;0,859
c1040_2;638,0;639,0;638,0;638,0;1,195
c1040_3;653,1666666066667;654,0;654,0;654,0;1,077
c1040_4;635,0;635,0;635,0;635,0;0,586
c1040_5;638,4999999399998;639,0;639,0;639,0;0,958
c1050_1;573,0;573,0;573,0;573,0;1,052
c1050_2;582,3333332633334;587,0;583,0;583,0;2,055
c1050_3;589,0;589,0;589,0;589,0;1,095
c1050_4;577,0;581,0;578,0;578,0;2,19
c1050_5;581,0;581,0;581,0;581,0;1,697
c1060_1;973,4642857242854;974,0;974,0;974,0;2,506
c1060_2;956,0;956,0;956,0;956,0;1,612
c1060_3;940,6666667466669;941,0;941,0;941,0;2,336
c1060_4;952,8888888188894;961,0;954,0;954,0;5,105
c1060_5;944,25;946,0;945,0;945,0;4,81
c15900;-Inf;Inf;11340,0;11340,0;900,732
c20100;1241,6666666766673;1244,0;1243,0;1243,0;5,243
c201600;-Inf;Inf;18802,0;18802,0;927,331
c20200;2390,171034332757;2393,0;2391,0;2391,0;121,14
c20400;-Inf;Inf;4782,0;4782,0;900,414
c30900;-Inf;Inf;9982,0;9982,0;904,028
c401600;-Inf;Inf;17144,0;17145,0;930,823
c40400;4257,0;4257,0;4244,0;4244,0;712,015
c60900;-Inf;Inf;9325,0;9327,0;901,497
c801600;-Inf;Inf;16284,0;16285,0;301,819
d05100;6349,921173519564;6569,999897330835;6353,0;6353,0;224,577
d05200;-Inf;Inf;12742,0;12742,0;777,28
d10100;6341,44987618762;6765,0;6345,0;6348,0;1132,467
d10200;12846,0;12846,0;12426,0;12432,0;701,358
d10400;-Inf;Inf;24959,0;24963,0;900,789
d15900;-Inf;Inf;55403,0;55409,0;911,652
d20100;6730,0;6730,0;6177,0;6190,0;603,35
d201600;-Inf;Inf;97823,0;97832,0;306,894
d20200;13355,0;13355,0;12230,0;12241,0;622,821
d20400;-Inf;Inf;24561,0;24574,0;900,923
d30900;-Inf;Inf;54833,0;54852,0;909,921
d401600;-Inf;Inf;97105,0;97105,0;304,077
d40400;-Inf;Inf;24350,0;24392,0;760,472
d60900;-Inf;Inf;54551,0;54568,0;905,214
d801600;-Inf;Inf;97034,0;97035,0;301,887
e05100;12673,046948286817;12919,0;12681,0;12681,0;141,101
e05200;-Inf;Inf;24929,0;24930,0;743,743
e10100;11568,022520948403;12038,0;11576,0;11577,0;121,282
e10200;23541,0;23541,0;23305,0;23307,0;720,788
e10400;-Inf;Inf;45745,0;45746,0;900,227
e15900;-Inf;Inf;102420,0;102421,0;300,423
e20100;8431,509921858024;8616,0;8436,0;8436,0;1080,165
e201600;-Inf;Inf;180644,0;180646,0;301,345
e20200;-Inf;Inf;22378,0;22379,0;629,851
e20400;-Inf;Inf;44876,0;44877,0;900,487
e30900;-Inf;Inf;100426,0;100429,0;301,549
e401600;-Inf;Inf;178293,0;178294,0;302,087
e40400;-Inf;Inf;44560,0;44562,0;748,585
e60900;-Inf;Inf;100147,0;100153,0;900,464
e801600;-Inf;Inf;176816,0;176826,0;301,713
